GPU_Name,brand,model,memory,memory_interface,clock_speed,Price,VRAM,Clock_Speed,Category,Usage
XFX GTS XXX Edition RX 580 4GB OC+ 1386MHz DDR5 w/Backplate 3xDP HDMI DVI,XFX, RX 580 XXX Edition , 4 GB ,2, 1386 MHz ,8720,4,1386,Basic-Level,Student
MSI Gaming Radeon RX 580 256-bit 4GB GDRR5 DirectX 12 VR Ready CFX Graphcis Card,MSI, Radeon RX 580 GAMING X 4G , 4 GB ,2, 1393 MHz ,63999.2,4,1393,Basic-Level,Student
MSI Gaming Radeon RX 580 256-bit 8GB GDRR5 DirectX 12 VR Ready CFX Graphics Card,MSI, RX 580 ARMOR MK2 8G OC , 8 GB ,2, 1380 MHz ,19120,8,1380,Basic-Level,Work/Home
"XFX Radeon RX 580 GTS Black Edition 1425MHz OC+, 8GB GDDR5, VR Ready, Dual BIOS, 3xDP HDMI DVI, AMD Graphics Card",XFX, RX 580 GTS Black Edition , 8 GB ,2, 1425 MHz ,96000,8,1425,Basic-Level,Work/Home
ASUS Radeon RX 580 O4G Dual-Fan OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card,ASUS, DUAL RX 580 O4G , 4 GB ,2, 1380 MHz ,54399.2,4,1380,Basic-Level,Student
Gigabyte Radeon RX 580 Gaming 8GB Graphic Cards ,Gigabyte, RX 580 8GD , 8 GB ,2, 1355 MHz ,42399.2,8,1355,Mid-Range,Work/Home
ASUS ROG-STRIX-RX580-O8G-GAMINGOC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card,ASUS, ROG STRIX RX580 O8G , 8 GB ,2, 1380 MHz ,22319.2,8,1380,Basic-Level,Work/Home
MSI Gaming Radeon RX 580 256-bit 4GB GDRR5 DirectX 12 VR Ready CFX Graphcis Card,MSI, RX 580 ARMOR 4G OC , 4 GB ,2, 1366 MHz ,11919.2,4,1366,Basic-Level,Student
Sapphire Nitro+ Radeon RX 580 DirectX 12 100411NT+4G-2L 4GB 256-Bit GDDR5 CrossFireX ATX Video Card,SapphireTechnology, RX 580 Nitro+ , 4 GB ,2, 1411 MHz ,39908.8,4,1411,Basic-Level,Student
ASUS PH-GTX1060-3G GeForce GTX 1060 3GB Phoenix Fan Edition VR Ready HDMI DP DVI Graphics Card,Asus, PH-GTX1060-3G , 3 GB ,2, 1708 MHz ,15840,3,1708,Basic-Level,Student
"EVGA GeForce GTX 1060 3GB GAMING, ACX 2.0 (Single Fan), 3GB GDDR5, DX12 OSD Suppor Graphics Cards",EVGA, GeForce GTX 1060 3GB , 3 GB ,2, 1708 MHz ,17599.2,3,1708,Basic-Level,Student
MSI GAMING GeForce GTX 1060 6GB GDRR5 192-bit HDCP Support DirectX 12 Dual TORX 2.0 Fan VR Ready Graphics Card ,MSI,  GeForce GTX 1060 6GB , 6 GB ,2, 1809 MHz ,17520,6,1809,Basic-Level,Work/Home
PowerColor Red Devil AMD Radeon RX570 4GB GDDR5 AXRX 570 4GBD5-3DH/OC,PowerColor, AXRX 570 4GBD5-3DH/OC , 4 GB ,2, 1320 MHz ,42880,4,1320,Basic-Level,Student
MSI Gaming Radeon RX 570 256-bit 8GB GDRR5 DirectX 12 VR Ready CFX Graphcis Card ,MSI, Radeon RX 570 ARMOR 8G OC , 8 GB ,2, 1268 MHz ,27999.2,8,1268,Basic-Level,Work/Home
XFX RX 570 4GB GDDR5 RS XXX Edition PCI-Express 3.0 Graphics Card ,XFX, Radeon RX 570 , 4 GB ,2, 1284 MHz ,13839.2,4,1284,Basic-Level,Student
"XFX Radeon RX 570 RS XXX Edition 1286MHz, 8gb GDDR5, DX12 VR Ready, Dual BIOS, 3xDP HDMI DVI, AMD Graphics Card",XFX, Radeon RX 570 , 8 GB ,2, 1286 MHz ,28799.2,8,1286,Basic-Level,Work/Home
MSI Gaming Radeon RX 570 256-bit 4GB GDRR5 DirectX 12 VR Ready CFX Graphcis Card,MSI, RX 570 GAMING X 4G , 4 GB ,2, 1293 MHz ,6720,4,1293,Basic-Level,Student
ASUS ROG Strix Radeon Rx 570 O4G Gaming OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card (ROG-STRIX-RX570-O4G-GAMING),ASUS, ROG Strix Rx 570 O4G , 4 GB ,2, 1310 MHz ,50427.2,4,1310,Basic-Level,Student
MSI Gaming Radeon RX 570 256-bit 4GB GDRR5 DirectX 12 VR Ready CFX Graphcis Card,MSI, RX 570 ARMOR 4G OC , 4 GB ,2, 1244 MHz ,27920,4,1244,Basic-Level,Student
ASUS ROG Strix Radeon RX570 O8G Gaming GDDR5 DP HDMI DVI VR Ready AMD Graphics Card ,ASUS, ROG Strix RX570 O8G , 8 GB ,2, 1310 MHz ,15200,8,1310,Basic-Level,Work/Home
Gigabyte Radeon RX 570 Gaming 4GB Graphic Cards GV-RX570GAMING-4GD,Gigabyte, Radeon RX 570 , 4 GB ,2, 1255 MHz ,14320,4,1255,Basic-Level,Student
MSI Gaming Radeon RX 570 256-bit 8GB GDRR5 DirectX 12 VR Ready CFX Graphcis Card,MSI, Radeon RX 570 ARMOR MK2 8G OC , 8 GB ,2, 1281 MHz ,23999.2,8,1281,Basic-Level,Work/Home
MSI Gaming GeForce GTX 1650 128-Bit HDMI/DP 4GB GDRR5 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card ,MSI, GeForce GTX 1650 , 4 GB ,2, 1860 MHz ,19920,4,1860,Basic-Level,Student
ASUS GeForce GTX 1650 4GB Phoenix Fan Overclocked Edition HDMI DP DVI Graphics Card,ASUS, GeForce GTX 1650 , 4Â GB ,2, 1710 MHz ,15999.2,4,1710,Basic-Level,Student
MSI Gaming GeForce GTX 1650 128-Bit HDMI/DP 4GB GDRR5 HDCP Support DirectX 12 VR Ready OC Graphics Card ,MSI, GeForce GTX 1650 , 4 GB ,2, 1740 MHz ,14720,4,1740,Basic-Level,Student
"Gigabyte GeForce GTX 1650 OC 4G Graphics Card, 2X Windforce Fans, 4GB 128-Bit GDDR5, Video Card",Gigabyte, GeForce GTX 1650 , 4 GB ,2, 1710 MHz ,22520,4,1710,Basic-Level,Student
"ZOTAC GeForce GTX 1050 Ti Mini, 4GB GDDR5 DisplayPort 128-bit Gaming Graphic Card",ZOTAC, ZT-P10510A-10L , 4 GB ,2, 1417 MHz ,32799.2,4,1417,Basic-Level,Student
MSI Computer Video Card ,MSI, GeForce GTX 1050 Ti , 4Â GB ,2, 1455 MHz ,13159.2,4,1455,Basic-Level,Student
MSI GTX 1050 TI 4GT LP Graphic Cards,MSI, GTX 1050 TI 4GT LP , 4 GB ,2, 1392 MHz ,18787.2,4,1392,Basic-Level,Student
Gigabyte GTX 1050 Ti Windforce OC 4GB GDDR5 128-bit PCI-E Graphic Card,Gigabyte, GV-N105TWF2OC-4GD , 4 GB ,2, 1468 MHz ,10917.6,4,1468,Basic-Level,Student
MSI Computer Video Card (GTX 1050 TI 4G OC),MSI, GeForce GTX 1050 TI 4G OC , 4 GB ,2, 1455 MHz ,10497.6,4,1455,Basic-Level,Student
Asus GeForce GTX 1050 Ti 4GB Phoenix Fan Edition DVI-D HDMI DP 1.4 Gaming Graphics Card,ASUS, GeForce GTX 1050 Ti , 4Â GB ,2, 1392 MHz ,14399.2,4,1392,Basic-Level,Student
"MSI Computer Video Graphic Cards GeForce GTX 1050 TI GAMING X 4G, 4GB",MSI, GeForce GTX 1050 TI GAMING X 4G , 4 GB ,2, 1493 MHz ,14269.6,4,1493,Basic-Level,Student
MSI GeForce GTX 1050 Ti Gaming graphics card with Twin Frozr VI cooling system,MSI, GeForce GTX 1050 Ti , 4Â GB ,2, 1493 MHz ,15679.2,4,1493,Basic-Level,Student
Sapphire Technology Radeon Pulse RX 550 4GB GDDR5 HDMI/ DVI-D/ DP OC (UEFI) PCI-E Graphics Card,SapphireTechnology, Radeon Pulse RX 550 , 4 GB ,2, 1500 MHz ,27908.8,4,1500,Basic-Level,Student
Gigabyte Nvidia GeForce GT 1030 OC 2G Graphics Card,Gigabyte, GeForce GT 1030 , 2 GB ,2, 1544 MHz ,9827.2,2,1544,Basic-Level,Student
MSI GAMING GeForce GT 710 2GB GDRR3 64-bit HDCP Support DirectX 12 OpenGL 4.5 Heat Sink Low Profile Graphics Card,MSI, GT 710 2GD3H LP , 2 GB ,0, 954 MHz ,11199.2,2,954,Basic-Level,Student
MSI Gaming GeForce GT 710 2GB GDRR3 64-bit HDCP Support DirectX 12 OpenGL 4.5 Single Fan Low Profile Graphics Card,MSI, GT 710 2GD3 LP , 2 GB ,0, 1600 MHz ,5599.2,2,1600,Basic-Level,Student
MSI GAMING GeForce GT 710 1GB GDRR3 64-bit HDCP Support DirectX 12 OpenGL 4.5 Heat Sink Low Profile Graphics Card ,MSI, GeForce GT 710 , 1Â GB ,1, 1000 MHz ,4096.8,1,1000,Basic-Level,Student
Gigabyte GeForce GTX 1060 Windforce OC 3GB GDDR5 Graphics Card,Gigabyte, GV-N1060WF2OC-3GD , 3 GB ,2, 1797 MHz ,15999.2,3,1797,Basic-Level,Student
Gigabyte Radeon Rx Vega 56 Gaming OC 8G Graphic Card - GV-RXVEGA56GAMING OC-8GD,Gigabyte, GV-RXVEGA56GAMING OC-8GD , 8 GB ,7, 1501 MHz ,45599.2,8,1501,Mid-Range,Work/Home
"ZOTAC Gaming GeForce GTX 1650 OC 4GB GDDR5 128-Bit Gaming Graphics Card, Super Compact, ZT-T16500F-10L",ZOTAC, ZT-T16500F-10L , 4 GB ,2, 1695 MHz ,19999.2,4,1695,Basic-Level,Student
"ZOTAC GeForce GTX 1060 AMP Edition, ZT-P10600B-10M, 6GB GDDR5 VR Ready Super Compact Gaming Graphics Card",ZOTAC, GeForce GTX 1060 AMP Edition , 6 GB ,2, 1771 MHz ,22399.2,6,1771,Basic-Level,Work/Home
"EVGA GeForce RTX 2070 Super FTW3 Ultra+, Overclocked, 2.75 Slot Extreme Cool Triple + iCX2, 65C Gaming, RGB, Metal Backplate, 15.5GHz 8GB GDDR6",EVGA, RTX 2070 Super FTW3 Ultra+ , 8 GB ,4, 1815 MHz ,71920,8,1815,Basic-Level,Work/Home
"EVGA GeForce RTX 2070 Super XC Ultra+, Overclocked, 2.75 Slot Extreme Cool Dual, 70C Gaming, RGB, Metal Backplate, 8GB 15.5GHz GDDR6",EVGA, RTX 2070 Super XC Ultra+ , 8 GB ,4, 1800 MHz ,75920,8,1800,Basic-Level,Work/Home
PNY GeForce RTX 2080 Super 8GB Blower Graphics Card,PNY, RTX 2080 Super Blower 8GB , 8 GB ,4, 1815 MHz ,54000,8,1815,Basic-Level,Work/Home
"EVGA GeForce RTX 2080 Super XC Gaming, 8GB GDDR6, RGB LED, Metal Backplate",EVGA, RTX 2080 Super XC , 8 GB ,4, 1830 MHz ,95996,8,1830,Basic-Level,Work/Home
Sapphire Toxic AMD Radeon RX 6900 XT Extreme Edition PCIe 4.0 Gaming Graphics Card with 16GB GDDR6,SapphireTechnology, RX 6900 XT 16GB Toxic Extreme Edition , 16 GB ,4, 2525 MHz ,175920,16,2525,High-Performance,High-End
"PowerColor Red Devil AMD Radeon RX 6900 XT Ultimate Gaming Graphics Card with 16GB GDDR6 Memory, Powered by AMD RDNA 2, HDMI 2.1",PowerColor, RX 6900 XT Ultimate , 16 GB ,4, 2425 MHz ,79996.8,16,2425,High-Performance,High-End
"ASRock RX6900XT OCF 16G AMD Radeon RX6900XT Graphics Board, 16GB",ASRock, RX 6900 XT 16GB OC Formula , 16 GB ,4, 2475 MHz ,74656,16,2475,Basic-Level,High-End
ASROCK Radeon RX 6900 XT Phantom Gaming D 16G OC,ASROCK, RX 6900 XT PGD 16G OC , 16 GB ,4, 2340 MHz ,71939.2,16,2340,Basic-Level,High-End
"XFX Speedster MERC319 AMD Radeon RX 6900 XT Ultra Gaming Graphics Card with 16GB GDDR6, HDMI 2,1, 2xDP, USB-C, AMD RDNA 2 ",XFX, Speedster MERC319 RX 6900 XT Ultra , 16 GB ,4, 2340 MHz ,199999.2,16,2340,High-Performance,High-End
Sapphire Technology Nitro+ AMD Radeon RX 6900 XT Special Edition PCIe 4.0 Gaming Graphics Card with 16GB GDDR6,SapphireTechnology, RX 6900 XT Nitro+ Special Edition , 16 GB ,4, 2365 MHz ,74239.2,16,2365,Basic-Level,High-End
"PowerColor Red Devil Limited Edition AMD Radeon RX 6900 XT Gaming Graphics Card with 16GB GDDR6 Memory, Powered by AMD RDNA 2, Raytracing",PowerColor, Red Devil RX 6900 XT , 16 GB ,4, 2340 MHz ,175999.2,16,2340,High-Performance,High-End
"ASUS ROG Strix LC AMD Radeon RX 6900 XT OC Edition Gaming Graphics Card (PCIe 4.0, 16GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Full-Coverage Cold Plate",ASUS, ROG Strix LC RX 6900 XT OC Edition , 16 GB ,4, 2365 MHz ,111599.2,16,2365,High-Performance,High-End
XFX AMD Radeon HD 6850 775M 1 GB DDR5 Graphics Card,XFX, Radeon HD 6850 , 1 GB ,2, 1100 MHz ,29520,1,1100,Basic-Level,Student
PowerColor ATI Radeon HD5450 1 GB DDR3 VGA/DVI/HDMI PCI-Express Video Card 1 GBK3-SH,PowerColor, AX5450 1GBK3-SH , 1 GB ,0, 1100 MHz ,7999.2,1,1100,Basic-Level,Student
HIS ATI Radeon HD5450 Silence 1 GB DDR3 VGA/ DVI/ DisplayPort Low Profile PCI-Express Video Card,HIS, HD5450 , 1 GB ,0, 1000 MHz ,7999.2,1,1000,Basic-Level,Student
PowerColor ATI Radeon HD5450 512 MB DDR3 VGA/DVI/HDMI PCI-Express Video Card,PowerColor, ATI Radeon HD5450 , 0.5 GB ,0, 1000 MHz ,5196,0,1000,Basic-Level,Student
"VisionTek Radeon 5450 2GB DDR3 (DVI-I, HDMI, VGA) Graphics Card",VisionTek, Radeon 5450 , 2 GB ,0, 1000 MHz ,5199.2,2,1000,Basic-Level,Student
"Diamond Multimedia AMD Radeon HD 5450 PCI Express GDDR3 1GB (DVI, HDMI, VGA) Low Profile Enhanced Heatsink Video Graphics Card",DiamondMultimedia, 5450PE31G , 1 GB ,0, 1000 MHz ,4399.2,1,1000,Basic-Level,Student
"GIGABYTE GeForce GTX 1650 Windforce OC 4G Graphics Card, 2X Windforce Fans, 4GB 128-Bit GDDR5, Gv-N1650WF2OC-4GD Video Card",Gigabyte, GeForce GTX 1650 Windforce OC , 4 GB ,2, 1785 MHz ,31920,4,1785,Basic-Level,Student
