GPU_Name,brand,model,memory,memory_interface,clock_speed,Price,VRAM,Clock_Speed,Category,Usage
"PowerColor Fighter AMD Radeon RX 6800 Gaming Graphics Card with 16GB GDDR6 Memory, Powered by AMD RDNA 2, Raytracing, PCI Express 4.0",PowerColor, Fighter Radeon RX 6800 , 16 GB ,4, 2155 MHz ,95440,16,2155,High-Performance,High-End
"PowerColor Red Devil AMD Radeon RX 6800 Gaming Graphics Card with 16GB GDDR6 Memory, Powered by AMD RDNA 2, Raytracing, PCI Express 4.0",PowerColor, Red Devil RX 6800 OC , 16 GB ,4, 2190 MHz ,111999.2,16,2190,High-Performance,High-End
Sapphire Nitro+ AMD Radeon RX 6800 PCIe 4.0 Gaming Graphics Card with 16GB GDDR6,SapphireTechnology, RX 6800 Nitro+ , 16 GB ,4, 2190MHz ,80773.6,16,2190,High-Performance,High-End
"PowerColor Red Dragon AMD Radeon RX 6800 Gaming Graphics Card with 16GB GDDR6 Memory, Powered by AMD RDNA 2, Raytracing, PCI Express 4.0",PowerColor, Red Dragon RX 6800 , 16 GB ,4, 2170 MHz ,44984.8,16,2170,Basic-Level,High-End
XFX Speedster QICK319 AMD Radeon RX 6800 Black Gaming Graphics Card with 16GB GDDR6 HDMI 3xDP,XFX, Speedster QICK319 RX 6800 , 16 GB ,4, 2190 MHz ,172239.2,16,2190,High-Performance,High-End
"ASUS TUF Gaming AMD Radeon RX 6800 OC Edition Graphics Card (PCIe 4.0, 16GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings",ASUS, TUF RX 6800 OC Edition , 16 GB ,4, 2190 MHz ,61199.2,16,2190,Basic-Level,High-End
Sapphire 11305-02-20G Pulse AMD Radeon RX 6800 PCIe 4.0 Gaming Graphics Card with 16GB GDDR6,SapphireTechnology, RX 6800 Pulse , 16 GB ,4, 2170 MHz ,47999.2,16,2170,Basic-Level,High-End
NVIDIA Titan RTX Graphics Card,NVIDIA, TITAN RTX , 24 GB ,4, 1770 MHz ,271999.2,24,1770,High-Performance,High-End
ASUS ROG STRIX GeForce RTX 2080TI-O11G Overclocked 11G GDDR6 HDMI DP 1.4 USB Type-C Gaming Graphics Card,ASUS, ROG STRIX GeForce RTX 2080TI , 11 GB ,4, 1665 MHz ,263999.2,11,1665,Basic-Level,Gaming or High-end
NVIDIA GEFORCE RTX 2080 Ti Founders Edition,NVIDIA, GeForce RTX 2080 Ti , 11 GB ,4, 1635 MHz ,143840,11,1635,Basic-Level,Gaming or High-end
MSI GAMING GeForce RTX 2080 Ti GDRR6 352-bit HDMI/DP/USB Ray Tracing Turing Architecture Graphics Card,MSI, GeForce RTX 2080 Ti GAMING X TRIO , 11 GB ,4, 1755 MHz ,59999.2,11,1755,Basic-Level,Gaming or High-end
ZOTAC GAMING GeForce RTX 2080 Ti AMP 11GB GDDR6 352-Bit SPECTRA RGB LED Metal Backplate Graphics Card,ZOTAC, ZT-T20810D-10P , 11 GB ,4, 1665 MHz ,63200,11,1665,Basic-Level,Gaming or High-end
"EVGA GeForce RTX 2080 Ti Ftw3 Ultra, Overclocked, 2.75 Slot Extreme Cool Triple + iCX2, 65C Gaming, RGB",EVGA, GeForce RTX 2080 Ti , 11 GB ,4, 1755 MHz ,210320,11,1755,Basic-Level,Gaming or High-end
"EVGA GeForce RTX 2080 Ti Black Edition Gaming, 11GB GDDR6, Dual HDB Fans & RGB LED Graphics Card",EVGA, RTX 2080 Ti Black Edition , 11 GB ,4, 1545 MHz ,127996,11,1545,Basic-Level,Gaming or High-end
ZOTAC Gaming GeForce RTX 2080 Ti Twin Fan 11GB GDDR6 352-bit Spectra RGB LED/Metal Backplate Graphics Card,ZOTAC, RTX 2080 Ti Twin Fan , 11 GB ,4, 1545 MHz ,147016.8,11,1545,Basic-Level,Gaming or High-end
"EVGA GeForce RTX 2080 Ti XC ULTRA GAMING, 11GB GDDR6, Dual HDB Fans & RGB LED Graphics Card",EVGA, RTX 2080 Ti XC Ultra , 11 GB ,4, 1650 MHz ,159999.2,11,1650,Basic-Level,Gaming or High-end
MSI Gaming GeForce RTX 2080 Ti GDRR6 352-bit HDMI/DP/USB Ray Tracing Turing Architecture Graphics Card (RTX 2080 TI Ventus 11G OC),MSI, RTX 2080 TI Ventus 11G OC , 11 GB ,4, 1635 MHz ,63920,11,1635,Basic-Level,Gaming or High-end
PNY GeForce RTX 2080 Ti 11GB XLR8 Gaming Overclocked Edition Graphics Card,PNY, RTX 2080 Ti 11GB XLR8 , 11 GB ,4, 1635 MHz ,191120,11,1635,Basic-Level,Gaming or High-end
"EVGA GeForce RTX 3070 Ti FTW3 Ultra Gaming, 08G-P5-3797-KL, 8GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate",EVGA, RTX 3070 Ti FTW3 Ultra , 8 GB ,5, 1860 MHz ,55836,8,1860,Basic-Level,Work/Home
"GIGABYTE GeForce RTX 3070 Ti Gaming OC 8G Graphics Card, WINDFORCE 3X Cooling System, 8GB 256-bit GDDR6X Video Card",Gigabyte, RTX 3070 Ti OC 8G , 8 GB ,5, 1830 MHz ,54720,8,1830,Basic-Level,Work/Home
"EVGA GeForce RTX 3070 Ti XC3 Ultra Gaming, 08G-P5-3785-KL, 8GB GDDR6X, iCX3 Cooling, ARGB LED, Metal Backplate",EVGA, RTX 3070 Ti XC3 Ultra , 8 GB ,5, 1815 MHz ,55916,8,1815,Basic-Level,Work/Home
"ZOTAC Gaming GeForce RTX 3070 Ti AMP Holo 8GB GDDR6X 256-bit 19 Gbps PCIE 4.0 Gaming Graphics Card, HoloBlack, IceStorm 2.0 Advanced Cooling",ZOTAC, RTX 3070 Ti AMP Holo , 8 GB ,5, 1830 MHz ,58640,8,1830,Basic-Level,Work/Home
"ASUS ROG Strix NVIDIA GeForce RTX 3070 Ti OC Edition Gaming Graphics Card (PCIe 4.0, 8GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design",ASUS, RTX 3070 Ti OC Edition , 8 GB ,5, 1845 MHz ,60720,8,1845,Basic-Level,Work/Home
"ASUS TUF Gaming NVIDIA GeForce RTX 3070 Ti OC Edition Graphics Card (PCIe 4.0, 8GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings",ASUS, RTX 3070 Ti OC Edition , 8 GB ,5, 1815 MHz ,52399.2,8,1815,Basic-Level,Work/Home
GeForce RTX 3070 Ti SUPRIM X 8G,MSI, RTX 3070Ti SUPRIM X 8G , 8 GB ,5, 1875 MHz ,75523.2,8,1875,Basic-Level,Work/Home
"ZOTAC Gaming GeForce RTX 3070 Ti Trinity 8GB GDDR6X 256-bit 19 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling",ZOTAC, RTX 3070 Ti Trinity 8GB , 8 GB ,5, 1770 MHz ,55199.2,8,1770,Basic-Level,Work/Home
PNY NVIDIA Quadro RTX 8000,PNY, Quadro RTX 8000 , 48 GB ,4, 1770 MHz ,427920,48,1770,High-Performance,High-End
NVIDIA TITAN V VOLTA 12GB HBM2 VIDEO CARD,NVIDIA, Titan V , 12 GB ,7, 1455 MHz ,143999.2,12,1455,Basic-Level,Gaming or High-end
"Radeon RX 6700 XT Eagle 12G Graphics Card, WINDFORCE 3X Cooling System, 12GB 192-bit GDDR6",Gigabyte, RX 6700 XT Eagle , 12 GB ,4, 2581 MHz ,35999.2,12,2581,Basic-Level,Gaming or High-end
Sapphire PULSE RX6700XT 12GB Gaming PCIe Video Card,SAPPHIRE, RX6700 XT 12GB Pulse , 12 GB ,4, 2581 MHz ,39120,12,2581,Basic-Level,Gaming or High-end
"ASUS TUF Gaming AMD Radeon RX 6700 XT OC Edition Graphics Card AMD RDNA 2, PCIe 4.0, 12GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Dual ball fan bearings",ASUS, RX 6700 XT OC Edition , 12 GB ,4, 2622 MHz ,59442.4,12,2622,Basic-Level,Gaming or High-end
"AMD Radeon RX 6700 XT Gaming Graphics Card with 12GB GDDR6, AMD RDNA 2",XFX, RX-67TMYDFD8 , 12 GB ,4, 2615 MHz ,59999.2,12,2615,Basic-Level,Gaming or High-end
"PowerColor Hellhound AMD Radeon RX 6700 XT Gaming Graphics Card with 12GB GDDR6 Memory, Powered by AMD RDNA 2, Raytracing",PowerColor, AXRX 6700XT 12GBD6-3DHL , 12 GB ,4, 2581 MHz ,49760,12,2581,Basic-Level,Gaming or High-end
