driveName,Type,Type-1,Capacity (in GBs),Benchmark Rank,Price,Release_Date,Category,Size_Category
Samsung SSD 850 PRO 1TB,SSD,SSD,954,1926,30000,2014,Mid Performance SSD,1 TB
Micron 1100 MTFDDAK1T0TBN,SSD,SSD,954,1945,19999.2,2017,Mid Performance SSD,1 TB
Crucial CT1024M550SSD1,SSD,SSD,954,2199,36718.4,2014,Mid Performance SSD,1 TB
ADATA SU800 SSD 1TB,SSD,SSD,954,2214,9915.2,2017,Mid Performance SSD,1 TB
KINGSTON SKC400S371T,SSD,SSD,954,2306,34056,2016,Mid Performance SSD,1 TB
Micron M600 MTFDDAK1T0MBF,SSD,SSD,954,2403,7199.2,2016,Mid Performance SSD,1 TB
MTFDDAK1T0MBF,SSD,SSD,954,2716,63584.8,2015,Mid Performance SSD,1 TB
Transcend TS1TSSD370S,SSD,SSD,954,2800,29904,2016,Mid Performance SSD,1 TB
GIGABYTE GP-GSTFS31100TNTD,SSD,SSD,954,2857,9360,2019,Mid Performance SSD,1 TB
Crucial CT1050MX300SSD1,SSD,SSD,978,1987,24756,2016,Mid Performance SSD,1 TB
Crucial CT1050MX300SSD4,SSD,SSD,978,1996,23999.2,2016,Mid Performance SSD,1 TB
Intel DC P3600 1.2TB NVMe,SSD,SSD,1100,877,78159.2,2014,High Performance SSD,2 TB
Corsair Force MP510 1920GB,SSD,SSD,1700,271,19999.2,2019,High Performance SSD,2 TB
Samsung 980 PRO with Heatsink 2TB,SSD,SSD,1800,9,25599.2,2021,High Performance SSD,2 TB
MSI M480 2TB,SSD,SSD,1800,32,26399.2,2021,High Performance SSD,2 TB
WD BLACK SN850 2TB,SSD,SSD,1800,37,33599.2,2020,High Performance SSD,2 TB
Samsung SSD 980 PRO 2TB,SSD,SSD,1800,50,22301.6,2021,High Performance SSD,2 TB
PNY CS3040 2TB SSD,SSD,SSD,1800,71,23920,2021,High Performance SSD,2 TB
CT2000P5PSSD8,SSD,SSD,1800,77,22960,2021,High Performance SSD,2 TB
Corsair MP600 PRO,SSD,SSD,1800,80,23999.2,2021,High Performance SSD,2 TB
Gigabyte AORUS NVMe Gen4 M.2 2TB,SSD,SSD,1800,109,22577.6,2019,High Performance SSD,2 TB
Corsair Force MP600 2TB,SSD,SSD,1800,110,21199.2,2019,High Performance SSD,2 TB
XPG GAMMIX S50,SSD,SSD,1800,116,22676,2019,High Performance SSD,2 TB
Corsair MP600 CORE,SSD,SSD,1800,126,18399.2,2021,High Performance SSD,2 TB
CT2000P5SSD8,SSD,SSD,1800,172,14160,2020,High Performance SSD,2 TB
Samsung SSD 970 EVO Plus 2TB,SSD,SSD,1800,191,39360,2019,High Performance SSD,2 TB
PNY CS3030 2TB SSD,SSD,SSD,1800,206,47998.4,2019,High Performance SSD,2 TB
PNY CS2130 2TB SSD,SSD,SSD,1800,262,17599.2,2020,High Performance SSD,2 TB
Corsair MP400,SSD,SSD,1800,281,29031.2,2020,High Performance SSD,2 TB
Samsung SSD 970 EVO 2TB,SSD,SSD,1800,350,15999.2,2018,High Performance SSD,2 TB
HP SSD EX950 2TB,SSD,SSD,1800,383,19999.2,2019,High Performance SSD,2 TB
WDC WDS200T2B0C,SSD,SSD,1800,386,17999.2,2021,High Performance SSD,2 TB
MKNSSDPE2TB-D8,SSD,SSD,1800,414,15199.2,2019,High Performance SSD,2 TB
NVMe PCIe SSD,SSD,SSD,1800,417,12399.2,2020,High Performance SSD,2 TB
CT2000P2SSD8,SSD,SSD,1800,707,18869.6,2020,High Performance SSD,2 TB
CT2000P1SSD8,SSD,SSD,1800,716,17999.2,2020,High Performance SSD,2 TB
Intel DC P3500 2TB NVMe,SSD,SSD,1800,909,95999.2,2015,High Performance SSD,2 TB
KINGSTON SNVS2000GB,SSD,SSD,1800,912,20710.4,2021,High Performance SSD,2 TB
WDC WDS200T2B0B,SSD,SSD,1800,1669,14591.2,2018,Mid Performance SSD,2 TB
Seagate BarraCuda 120 SSD ZA2000CM10003,SSD,SSD,1800,1670,29455.2,2020,Mid Performance SSD,2 TB
Samsung SSD 870 EVO 2TB,SSD,SSD,1800,1699,17599.2,2021,Mid Performance SSD,2 TB
Samsung SSD 850 EVO 2TB,SSD,SSD,1800,1724,28000,2015,Mid Performance SSD,2 TB
Samsung SSD 860 EVO 2TB,SSD,SSD,1800,1753,29600,2018,Mid Performance SSD,2 TB
