driveName,Type,Capacity  (in GBs),Benchmark Rank,Price,Release_Date
NVMe PCIe SSD,SSD,1800,417," INR 12,399.20 ",2020
CT2000P2SSD8,SSD,1800,707," INR 18,869.60 ",2020
CT2000P1SSD8,SSD,1800,716," INR 17,999.20 ",2020
Intel DC P3500 2TB NVMe,SSD,1800,909," INR 95,999.20 ",2015
KINGSTON SNVS2000GB,SSD,1800,912," INR 20,710.40 ",2021
WDC WDS200T2B0B,SSD,1800,1669," INR 14,591.20 ",2018
Seagate BarraCuda 120 SSD ZA2000CM10003,SSD,1800,1670," INR 29,455.20 ",2020
Samsung SSD 870 EVO 2TB,SSD,1800,1699," INR 17,599.20 ",2021
Samsung SSD 850 EVO 2TB,SSD,1800,1724," INR 28,000.00 ",2015
Samsung SSD 860 EVO 2TB,SSD,1800,1753," INR 29,600.00 ",2018
SanDisk SDSSDH3 2T00,SSD,1800,1783," INR 19,038.40 ",2019
WDC WDS200T2B0A,SSD,1800,1819," INR 16,638.40 ",2018
CT2000MX500SSD1,SSD,1800,1853," INR 15,839.20 ",2018
SanDisk SDSSDA-2T00,SSD,1800,1900," INR 15,199.20 ",2020
CT2000BX500SSD1,SSD,1800,3537," INR 14,399.20 ",2020
WDC WDS200T2G0A,SSD,1800,4267," INR 14,216.80 ",2020
XPG GAMMIX S70,SSD,1900,100," INR 21,280.00 ",2021
INTEL SSDPEKNU020TZ,SSD,1900,157," INR 17,599.20 ",2021
Viper M.2 VPN100 2TB,SSD,1900,301," INR 15,199.20 ",2019
Samsung PM981 2TB NVMe,SSD,1900,380," INR 39,999.20 ",2018
NVMe Sabrent,SSD,1900,412," INR 14,000.00 ",2019
Samsung SSD 960 PRO 2TB,SSD,1900,517," INR 100,000.00 ",2017
Toshiba XG5-P NVMe 2TB,SSD,1900,556," INR 24,399.20 ",2018
Intel SSD 760P 2TB,SSD,1900,579," INR 55,999.20 ",2018
INTEL SSDPEKNW020T9,SSD,1900,649," INR 19,199.20 ",2020
Intel SSD 660p 2TB,SSD,1900,887," INR 22,156.00 ",2018
NVMe INTEL SSDPEKNW02,SSD,1900,951," INR 18,799.20 ",2019
Samsung SSD 850 PRO 2TB,SSD,1900,1698," INR 40,495.20 ",2016
Samsung SSD 860 PRO 2TB,SSD,1900,1704," INR 43,920.00 ",2018
ADATA SU800 SSD 2TB,SSD,1900,1752," INR 37,159.20 ",2019
Crucial CT2050MX300SSD1,SSD,1900,2884," INR 39,200.00 ",2016
Samsung SSD 870 EVO 4TB,SSD,3600,1668," INR 59,599.20 ",2021
Samsung SSD 860 EVO 4TB,SSD,3600,1731," INR 67,900.80 ",2018
Sabrent,SSD,3700,282," INR 79,999.20 ",2020
HITACHI HUS156060VLS600,HDD,559,5942," INR 7,997.60 ",2013
SEAGATE ST3600057SS,HDD,559,6003," INR 3,920.00 ",2012
SEAGATE ST600MM0006,HDD,559,6041," INR 14,239.20 ",2014
WDC WD6000HLHX,HDD,559,6426," INR 13,599.20 ",2010
WDC WD6000BLHX,HDD,559,6513," INR 12,000.00 ",2012
SAMSUNG HM640JJ,HDD,582,6937," INR 5,599.20 ",2010
WDC WD6402AAEX,HDD,596,6674," INR 4,799.20 ",2010
Hitachi HTS727564A9E364,HDD,596,6757," INR 5,860.00 ",2012
WDC WD6400AAKS,HDD,596,6844," INR 3,360.00 ",2009
SAMSUNG HD642JJ,HDD,596,6897," INR 5,520.00 ",2008
Seagate ST3640323AS,HDD,596,6910," INR 15,135.20 ",2008
WDC WD6400AARS,HDD,596,6994," INR 4,992.00 ",2010
SAMSUNG HN-M640MBB,HDD,596,7044," INR 12,636.00 ",2013
Hitachi HDT721064SLA360,HDD,596,7086," INR 1,679.20 ",2009
TOSHIBA MK6461GSYN,HDD,596,7123," INR 9,927.20 ",2010
TOSHIBA MK6461GSY,HDD,596,7166," INR 15,996.00 ",2010
Seagate ST9640423AS,HDD,596,7170," INR 6,471.20 ",2011
Seagate ST640LM001,HDD,596,7227," INR 14,240.00 ",2012
SAMSUNG HM641JI,HDD,596,7246," INR 2,639.20 ",2010
HGST HTS541064A9E680,HDD,596,7258," INR 2,399.20 ",2013
WDC WD6400BPVT,HDD,596,7302," INR 7,799.20 ",2011
WDC WD6400AACS,HDD,596,7357," INR 15,199.20 ",2009
WDC WD6400BEVT,HDD,596,7368," INR 7,916.00 ",2010
TOSHIBA MK6475GSX,HDD,596,7429," INR 4,800.00 ",2011
TOSHIBA MK6459GSXP,HDD,596,7467," INR 10,015.20 ",2011
Seagate ST9640320AS,HDD,596,7476," INR 6,159.20 ",2010
TOSHIBA MK6459GSX,HDD,596,7506," INR 11,060.00 ",2013
Hitachi HTS547564A9E384,HDD,596,7553," INR 4,319.20 ",2011
TOSHIBA MK6476GSX,HDD,596,7608," INR 9,040.00 ",2011
TOSHIBA MK6465GSX,HDD,596,7699," INR 3,759.20 ",2010
WDC WD7500AZEX,HDD,699,6301," INR 8,325.60 ",2012
Hitachi HDS721075DLE630,HDD,699,6510," INR 7,199.20 ",2011
WDC WD7502AAEX,HDD,699,6520," INR 13,440.00 ",2011
WDC WD7500BPKT,HDD,699,6607," INR 2,879.20 ",2011
WDC WD7500BPKX,HDD,699,6624," INR 6,000.00 ",2013
WDC WD7500AALX,HDD,699,6682," INR 8,319.20 ",2011
WDC WD7501AALS,HDD,699,6735," INR 9,596.00 ",2009
Hitachi HTS727575A9E364,HDD,699,6740," INR 4,388.80 ",2011
Seagate ST3750528AS,HDD,699,6762," INR 3,456.80 ",2009
WDC WD7500LPCX,HDD,699,6776," INR 4,064.00 ",2013
WDC WD7500BPVX,HDD,699,6793," INR 3,116.00 ",2013
WDC WD7502ABYS,HDD,699,6804," INR 5,044.80 ",2009
WDC WD7500BFCX,HDD,699,6818," INR 5,359.20 ",2014
Seagate ST750LX003,HDD,699,6851," INR 10,199.20 ",2011
Seagate ST9750420AS,HDD,699,6923," INR 4,799.20 ",2010
TOSHIBA MQ01ABD075,HDD,699,6940," INR 3,839.20 ",2012
Seagate ST3750330SV,HDD,699,6951," INR 3,990.40 ",2013
Seagate ST3750330NS,HDD,699,6993," INR 4,391.20 ",2009
Seagate ST3750330AS,HDD,699,7003," INR 4,160.00 ",2008
Seagate ST9750422AS,HDD,699,7022," INR 7,200.00 ",2013
TOSHIBA MK7559GSXP,HDD,699,7041," INR 7,760.00 ",2010
Seagate ST750LM022,HDD,699,7081," INR 5,920.00 ",2012
WDC WD7500AARX,HDD,699,7100," INR 9,052.00 ",2011
SAMSUNG HD753LJ,HDD,699,7113," INR 6,000.00 ",2008
HGST HTS541075A9E680,HDD,699,7121," INR 3,199.20 ",2013
WDC WD7500BPVT,HDD,699,7169," INR 2,479.20 ",2011
WDC WD7500AARS,HDD,699,7204," INR 6,846.40 ",2011
TOSHIBA MK7575GSX,HDD,699,7225," INR 7,920.00 ",2011
WDC WD7500AYYS,HDD,699,7235," INR 7,991.20 ",2009
WDC WD7500AADS,HDD,699,7249," INR 5,219.20 ",2009
SAMSUNG HN-M750MBB,HDD,699,7273," INR 4,240.00 ",2011
HITACHI HTS541075A9E680,HDD,699,7304," INR 5,830.40 ",2012
WDC WD7500AAKS,HDD,699,7408," INR 7,920.00 ",2009
Hitachi HTS547575A9E384,HDD,699,7440," INR 3,549.60 ",2011
Seagate ST9750423AS,HDD,699,7488," INR 11,196.00 ",2011
Seagate ST3750640NS,HDD,699,7514," INR 3,439.20 ",2009
WDC WD7500AACS,HDD,699,7518," INR 4,880.00 ",2009
Seagate ST3750640AS,HDD,699,7574," INR 1,675.20 ",2008
WDC WD7500KPVT,HDD,699,7671," INR 6,070.40 ",2010
Seagate ST3750840AS,HDD,699,7775," INR 9,040.00 ",2009
Seagate ST3750640A,HDD,699,7995," INR 13,031.20 ",2009
WDC WD8000AARS,HDD,745,7146," INR 5,982.40 ",2010
WDC WD8088AADS,HDD,753,7322," INR 11,991.20 ",2009
SEAGATE ST900MM0006,HDD,838,5978," INR 10,400.00 ",2014
SAMSUNG HD105SI,HDD,922,7036," INR 5,641.60 ",2010
Hitachi HUA722010CLA330,HDD,931,6665," INR 7,200.00 ",2010
Seagate ST1000NM0055,HDD,932,5861," INR 7,039.20 ",2017
WDC WD1000DHTZ,HDD,932,5919," INR 15,099.20 ",2012
WDC WD1000CHTZ,HDD,932,5935," INR 16,684.00 ",2012
Seagate ST1000VX001,HDD,932,5967," INR 5,760.00 ",2015
WDC WD1005FBYZ,HDD,932,5968," INR 8,000.00 ",2017
WDC WD1004FBYZ,HDD,932,6012," INR 3,999.20 ",2017
Seagate ST1000DM003,HDD,932,6023," INR 2,399.20 ",2011
Seagate ST1000VX000,HDD,932,6057," INR 9,463.20 ",2012
WDC WD1002F9YZ,HDD,932,6086," INR 13,260.00 ",2014
TOSHIBA DT01ACA100,HDD,932,6097," INR 2,792.00 ",2012
WDC WD10EZEX,HDD,932,6126," INR 2,680.00 ",2012
TOSHIBA MG03ACA100,HDD,932,6128," INR 3,199.20 ",2014
Seagate ST1000DM003,HDD,932,6133," INR 2,480.00 ",2017
Seagate ST1000NM0033,HDD,932,6139," INR 3,119.20 ",2017
Seagate ST1000DM010,HDD,932,6174," INR 3,200.00 ",2016
Seagate ST1000VX005,HDD,932,6185," INR 3,999.20 ",2017
WDC WD1003FZEX,HDD,932,6190," INR 5,399.20 ",2013
Hitachi HDS721010DLE630,HDD,932,6254," INR 8,800.00 ",2011
WDC WD10SPSX,HDD,932,6259," INR 4,320.00 ",2020
Seagate ST1000VM002,HDD,932,6284," INR 1,999.20 ",2013
TOSHIBA MK1002TSKB,HDD,932,6302," INR 7,920.00 ",2012
TOSHIBA DT01ABA100V,HDD,932,6334," INR 2,098.40 ",2013
WDC WD10PURZ,HDD,932,6335," INR 3,599.20 ",2017
WDC WD10EFRX,HDD,932,6339," INR 6,356.00 ",2012
