,CPU_Name,Price,BenchMarl,cpuValue,TDP,powerPerf
272,Intel Core i9-10900 @ 2.80GHz,29080.0629,20446,52.43,65,314.55
273,Intel Xeon Gold 6244 @ 3.60GHz,221472.9,20402,6.87,150,136.01
275,Intel Xeon E5-2695 v4 @ 2.10GHz,44152.897,20373,34.41,120,169.77
277,Intel Core i5-12500,15063.14,20309,100.54,65,312.45
278,Intel Core i9-11900T @ 1.50GHz,32736.23,20225,46.07,35,577.86
279,AMD Ryzen 7 4700G,23787.83,20138,63.13,65,309.82
280,Intel Xeon E5-2699 v3 @ 2.30GHz,40456.4621,20138,37.12,145,138.88
281,Intel Xeon E5-2690 v4 @ 2.60GHz,37158.9767,20094,40.32,135,148.85
283,AMD Ryzen 5 5500,11856.63,19949,125.46,65,306.9
284,Intel Xeon W-1350P @ 4.00GHz,24309.0743,19935,61.15,65,306.69
285,AMD Ryzen 5 5600G,13420.3629,19830,110.19,65,305.08
286,Intel Core i5-12450H,23191.27,19820,63.73,45,440.44
287,Intel Xeon Gold 6226 @ 2.70GHz,131987.4086,19810,11.19,125,158.48
288,Intel Xeon E5-2698 v3 @ 2.30GHz,253981.6915,19794,5.81,135,146.62
289,Intel Core i5-11600K @ 3.90GHz,15658.9543,19781,94.2,125,158.25
290,Intel Core i5-11600KF @ 3.90GHz,17336.7793,19742,84.91,125,157.93
291,Intel Core i5-12400F,13048.2586,19659,112.35,65,302.44
292,Intel Core i5-12400,14317.44,19571,101.93,65,301.09
294,AMD EPYC 7252,28427.5754,19550,51.28,120,162.92
295,Intel Core i9-9900KS @ 4.00GHz,66986.231,19518,21.73,127,153.69
296,Intel Xeon Silver 4216 @ 2.10GHz,81777.9362,19451,17.74,100,194.51
297,Intel Xeon W-2245 @ 3.90GHz,74562.543,19446,19.45,155,125.46
302,Intel Core i7-10700K @ 3.80GHz,24532.0386,19277,58.6,125,154.22
303,Intel Xeon W-1270P @ 3.80GHz,31915.96,19245,44.96,95,202.58
304,Intel Xeon E5-2697 v3 @ 2.60GHz,14928.1683,19238,96.1,145,132.67
305,Intel Xeon Gold 6126 @ 2.60GHz,86501.2,19223,16.57,125,153.78
306,Intel Core i7-10700KF @ 3.80GHz,23115.9543,19143,61.75,125,153.14
308,Intel Core i7-12800H,34078.49,19052,41.69,45,423.37
309,Intel Xeon Silver 4309Y @ 2.80GHz,50521.175,19010,28.06,105,181.05
312,Intel Xeon W-1350 @ 3.30GHz,20878.8543,18940,67.65,80,236.75
315,Intel Xeon W-11855M @ 3.20GHz,33556.5,18857,41.91,45,419.05
317,Intel Xeon Silver 4214R @ 2.40GHz,52781.3917,18846,26.63,100,188.46
320,AMD Ryzen 5 3600XT,24423.1664,18780,57.34,95,197.69
321,Intel Xeon E-2356G @ 3.20GHz,24831.81,18757,56.33,80,234.47
323,Intel Core i9-9900K @ 3.60GHz,46382.54,18716,30.09,95,197.02
324,Intel Core i9-9900KF @ 3.60GHz,37443.8341,18691,37.22,95,196.75
325,Intel Xeon Gold 6144 @ 3.50GHz,156373.29,18656,8.9,150,124.38
327,Intel Xeon W-1270E @ 3.40GHz,27367.19,18635,50.78,80,232.94
330,Intel Xeon W-1290T @ 1.90GHz,36837.58,18409,37.27,35,525.98
331,Intel Xeon D-2183IT @ 2.20GHz,131541.48,18385,10.42,100,183.85
332,Intel Core i5-11600 @ 2.80GHz,16137.6937,18318,84.64,65,281.81
333,Intel Core i9-9820X @ 3.30GHz,51080.45,18288,26.7,165,110.84
334,AMD Ryzen 5 3600X,15658.9543,18285,87.08,95,192.47
335,Intel Xeon E-2378 @ 2.60GHz,28784.02,18248,47.28,65,280.74
336,Intel Xeon E7-8880 v3 @ 2.30GHz,9917.81,18244,137.17,150,121.63
337,Intel Core i7-9800X @ 3.80GHz,48470.5,18240,28.06,165,110.54
338,Intel Xeon W-2145 @ 3.70GHz,91323.6419,18225,14.88,140,130.18
344,Intel Xeon W-1270 @ 3.40GHz,26994.34,18093,49.98,80,226.17
345,Intel Xeon D-2187NT @ 2.00GHz,148319.73,18070,9.08,110,164.27
348,Intel Core i9-10900TE @ 1.80GHz,33109.08,17888,40.29,35,511.09
349,AMD Ryzen 5 3600,11445.7493,17822,116.11,65,274.18
352,Intel Xeon E5-2687W v4 @ 3.00GHz,72713.207,17757,18.21,160,110.98
353,Intel Xeon E5-2680 v4 @ 2.40GHz,29991.3083,17737,44.1,120,147.81
354,Intel Core i5-12500T,15063.14,17728,87.76,35,506.53
355,Intel Xeon E-2278G @ 3.40GHz,36837.58,17706,35.84,80,221.33
356,Intel Xeon Gold 5120 @ 2.20GHz,116403.77,17686,11.33,105,168.43
357,Intel Core i5-11500 @ 2.70GHz,14704.4583,17626,89.38,65,271.17
359,AMD Ryzen 7 2700X,15881.9186,17578,82.54,105,167.41
361,Intel Xeon Gold 5120T @ 2.20GHz,128782.39,17540,10.16,105,167.04
362,Intel Xeon E5-2673 v4 @ 2.30GHz,145411.5,17533,8.99,135,129.87
364,Intel Xeon W-3223 @ 3.50GHz,61188.4135,17456,21.27,160,109.1
365,Intel Xeon E5-4669 v3 @ 2.10GHz,402678,17430,3.23,135,129.11
366,Intel Xeon E5-2683 v4 @ 2.10GHz,31393.97,17388,41.3,120,144.9
367,Intel Xeon E-2288G @ 3.70GHz,40193.23,17313,32.12,95,182.24
368,Intel Core i7-7820X @ 3.60GHz,52870.13,17283,24.38,140,123.45
370,Intel Core i5-11400F @ 2.60GHz,11184.7543,17213,114.76,65,264.82
372,Intel Core i7-6950X @ 3.00GHz,28136.7524,17142,45.43,140,122.44
373,Intel Core i5-11400 @ 2.60GHz,12990.8397,17132,98.34,65,263.57
375,Intel Core i7-10700E @ 2.90GHz,24608.1,17020,51.58,65,261.85
376,AMD EPYC 7232P,29102.4339,17017,43.6,120,141.81
377,Intel Core i7-10700F @ 2.90GHz,18641.7543,16973,67.89,65,261.12
378,AMD Ryzen Threadripper 1900X,18641.7543,16955,67.82,180,94.19
379,Intel Core i7-10700 @ 2.90GHz,20058.5843,16946,63,65,260.71
381,Intel Core i9-9900 @ 3.10GHz,34226.8843,16873,36.76,65,259.58
383,AMD Ryzen 5 4500,10570.2975,16698,117.8,65,256.89
384,Intel Xeon Gold 6134 @ 3.20GHz,126768.2543,16518,9.72,130,127.06
385,Intel Core i5-11500H @ 2.90GHz,18642.5,16458,65.83,45,365.74
387,Intel Xeon E5-2690 v3 @ 2.60GHz,17538.1183,16444,69.92,135,121.8
388,AMD Ryzen 5 PRO 4650G,19191.3352,16428,63.83,65,252.73
389,Intel Core i7-11600H @ 2.90GHz,29455.15,16403,41.53,45,364.51
390,Intel Core i7-10700TE @ 2.00GHz,24608.1,16332,49.49,35,466.63
391,AMD Ryzen 7 1800X,13275.6971,16306,91.59,95,171.64
392,Intel Xeon Gold 5118 @ 2.30GHz,52124.43,16287,23.3,105,155.12
393,Intel Core i9-10980HK @ 2.40GHz,43474.31,16271,27.91,45,361.57
397,Intel Core i5-11400H @ 2.70GHz,18642.5,16073,64.29,45,357.17
399,Intel Xeon W-10885M @ 2.40GHz,46457.11,16013,25.7,45,355.84
401,Intel Xeon E-2336 @ 2.90GHz,22669.28,15900,52.3,65,244.61
403,Intel Xeon E5-2695 v3 @ 2.30GHz,18134.6783,15801,64.97,120,131.68
404,Intel Xeon Silver 4214 @ 2.20GHz,56799.969,15772,20.71,85,185.55
406,Intel Core i9-10885H @ 2.40GHz,41460.92,15679,28.2,45,348.42
408,AMD Ryzen 7 2700,18955.694,15654,61.58,65,240.82
411,Intel Xeon E5-2680 v3 @ 2.50GHz,10588.94,15522,109.31,120,129.35
413,AMD Ryzen 7 1700X,12532.2342,15496,92.21,95,163.12
414,Intel Xeon Gold 5217 @ 3.00GHz,122667.65,15429,9.38,115,134.16
415,Intel Core i7-10875H @ 2.30GHz,33556.5,15426,34.28,45,342.79
416,Intel Xeon Gold 5215 @ 2.50GHz,103275.7215,15420,11.13,85,181.42
417,Intel Xeon E5-4667 v3 @ 2.00GHz,427211.53,15397,2.69,135,114.05
419,Intel Core i5-11260H @ 2.60GHz,18642.5,15313,61.25,45,340.29
420,Intel Core i7-11700T @ 1.40GHz,24086.11,15271,47.28,35,436.3
421,Intel Core i5-11600T @ 1.70GHz,15883.41,15254,71.61,35,435.82
422,Intel Xeon E-2278GE @ 3.30GHz,36837.58,15252,30.88,80,190.66
423,Intel Xeon E-2286M @ 2.40GHz,102398.0326,15249,11.1,45,338.87
424,Intel Xeon Silver 4214Y @ 2.20GHz,57269.76,15248,19.85,85,179.39
426,Intel Xeon Silver 4116T @ 2.10GHz,82921.84,15187,13.66,85,178.66
427,Intel Xeon Silver 4215R @ 3.20GHz,64130.2,15147,17.61,130,116.51
428,Intel Core i9-10900T @ 1.90GHz,32736.23,15134,34.47,35,432.4
429,Intel Xeon D-2166NT @ 2.00GHz,74942.85,15105,15.03,85,177.7
433,Intel Xeon E5-2660 v4 @ 2.00GHz,18974.3365,15038,59.1,105,143.22
434,Intel Xeon Silver 4210R @ 2.40GHz,38775.6543,15030,28.9,100,150.3
435,Intel Core i7-10870H @ 2.20GHz,31095.69,15027,36.04,45,333.93
436,AMD EPYC 7301,111853.5086,14991,9.99,155,96.72
437,Intel Core i3-12300,10663.51,14955,104.58,60,249.26
438,AMD EPYC 7251,82847.27,14935,13.44,120,124.46
439,Intel Xeon Silver 4116 @ 2.10GHz,29081.5543,14931,38.29,85,175.66
440,Intel Xeon W-1250P @ 4.10GHz,44492.9362,14924,25.01,125,119.39
441,Intel Xeon E5-2699A v4 @ 2.40GHz,368226.66,14917,3.02,145,102.87
442,Intel Xeon E5-2658A v3 @ 2.20GHz,136612.24,14879,8.12,105,141.71
443,Intel Xeon E5-2683 v3 @ 2.00GHz,111776.7015,14829,9.89,120,123.57
445,Intel Xeon E5-2687W v3 @ 3.10GHz,50703.8715,14812,21.78,160,92.57
449,Intel Core i9-9980HK @ 2.40GHz,43474.31,14728,25.26,45,327.29
451,Intel Xeon E5-2678 v3 @ 2.50GHz,12676.9,14682,86.36,120,122.35
453,AMD Ryzen 7 1700,11385.3476,14628,95.81,65,225.05
455,Intel Core i5-10600KF @ 4.10GHz,13793.9586,14575,78.79,125,116.6
456,Intel Core i7-9700K @ 3.60GHz,29156.1243,14550,37.21,95,153.16
