,GPU_Name,brand,model,memory,memory_interface,clock_speed,Price
46,MSI GAMING GeForce RTX 2080 Ti GDRR6 352-bit HDMI/DP/USB Ray Tracing Turing Architecture Graphics Card,MSI, GeForce RTX 2080 Ti GAMING X TRIO , 11 GB , GDDR6 , 1755 MHz ,59999.20
47,ZOTAC GAMING GeForce RTX 2080 Ti AMP 11GB GDDR6 352-Bit SPECTRA RGB LED Metal Backplate Graphics Card,ZOTAC, ZT-T20810D-10P , 11 GB , GDDR6 , 1665 MHz ,63200.00
48,"EVGA GeForce RTX 2080 Ti Ftw3 Ultra, Overclocked, 2.75 Slot Extreme Cool Triple + iCX2, 65C Gaming, RGB",EVGA, GeForce RTX 2080 Ti , 11 GB , GDDR6 , 1755 MHz ,210320.00
49,"EVGA GeForce RTX 2080 Ti Black Edition Gaming, 11GB GDDR6, Dual HDB Fans & RGB LED Graphics Card",EVGA, RTX 2080 Ti Black Edition , 11 GB , GDDR6 , 1545 MHz ,127996.00
50,ZOTAC Gaming GeForce RTX 2080 Ti Twin Fan 11GB GDDR6 352-bit Spectra RGB LED/Metal Backplate Graphics Card,ZOTAC, RTX 2080 Ti Twin Fan , 11 GB , GDDR6 , 1545 MHz ,147016.80
51,"EVGA GeForce RTX 2080 Ti XC ULTRA GAMING, 11GB GDDR6, Dual HDB Fans & RGB LED Graphics Card",EVGA, RTX 2080 Ti XC Ultra , 11 GB , GDDR6 , 1650 MHz ,159999.20
52,MSI Gaming GeForce RTX 2080 Ti GDRR6 352-bit HDMI/DP/USB Ray Tracing Turing Architecture Graphics Card (RTX 2080 TI Ventus 11G OC),MSI, RTX 2080 TI Ventus 11G OC , 11 GB , GDDR6 , 1635 MHz ,63920.00
54,PNY GeForce RTX 2080 Ti 11GB XLR8 Gaming Overclocked Edition Graphics Card,PNY, RTX 2080 Ti 11GB XLR8 , 11 GB , GDDR6 , 1635 MHz ,191120.00
55,"EVGA GeForce RTX 3070 Ti FTW3 Ultra Gaming, 08G-P5-3797-KL, 8GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate",EVGA, RTX 3070 Ti FTW3 Ultra , 8 GB , GDDR6X , 1860 MHz ,55836.00
56,"GIGABYTE GeForce RTX 3070 Ti Gaming OC 8G Graphics Card, WINDFORCE 3X Cooling System, 8GB 256-bit GDDR6X Video Card",Gigabyte, RTX 3070 Ti OC 8G , 8 GB , GDDR6X , 1830 MHz ,54720.00
57,"EVGA GeForce RTX 3070 Ti XC3 Ultra Gaming, 08G-P5-3785-KL, 8GB GDDR6X, iCX3 Cooling, ARGB LED, Metal Backplate",EVGA, RTX 3070 Ti XC3 Ultra , 8 GB , GDDR6X , 1815 MHz ,55916.00
58,"ZOTAC Gaming GeForce RTX 3070 Ti AMP Holo 8GB GDDR6X 256-bit 19 Gbps PCIE 4.0 Gaming Graphics Card, HoloBlack, IceStorm 2.0 Advanced Cooling",ZOTAC, RTX 3070 Ti AMP Holo , 8 GB , GDDR6X , 1830 MHz ,58640.00
59,"ASUS ROG Strix NVIDIA GeForce RTX 3070 Ti OC Edition Gaming Graphics Card (PCIe 4.0, 8GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design",ASUS, RTX 3070 Ti OC Edition , 8 GB , GDDR6X , 1845 MHz ,60720.00
60,"ASUS TUF Gaming NVIDIA GeForce RTX 3070 Ti OC Edition Graphics Card (PCIe 4.0, 8GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings",ASUS, RTX 3070 Ti OC Edition , 8 GB , GDDR6X , 1815 MHz ,52399.20
61,GeForce RTX 3070 Ti SUPRIM X 8G,MSI, RTX 3070Ti SUPRIM X 8G , 8 GB , GDDR6X , 1875 MHz ,75523.20
62,"ZOTAC Gaming GeForce RTX 3070 Ti Trinity 8GB GDDR6X 256-bit 19 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling",ZOTAC, RTX 3070 Ti Trinity 8GB , 8 GB , GDDR6X , 1770 MHz ,55199.20
63,PNY NVIDIA Quadro RTX 8000,PNY, Quadro RTX 8000 , 48 GB , GDDR6 , 1770 MHz ,427920.00
65,NVIDIA TITAN V VOLTA 12GB HBM2 VIDEO CARD,NVIDIA, Titan V , 12 GB , HBM2 , 1455 MHz ,143999.20
66,"Radeon RX 6700 XT Eagle 12G Graphics Card, WINDFORCE 3X Cooling System, 12GB 192-bit GDDR6",Gigabyte, RX 6700 XT Eagle , 12 GB , GDDR6 , 2581 MHz ,35999.20
67,Sapphire PULSE RX6700XT 12GB Gaming PCIe Video Card,SAPPHIRE, RX6700 XT 12GB Pulse , 12 GB , GDDR6 , 2581 MHz ,39120.00
68,"ASUS TUF Gaming AMD Radeon RX 6700 XT OC Edition Graphics Card AMD RDNA 2, PCIe 4.0, 12GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Dual ball fan bearings",ASUS, RX 6700 XT OC Edition , 12 GB , GDDR6 , 2622 MHz ,59442.40
