,GPU_Name,brand,model,memory,memory_interface,clock_speed,Price
265,Asus GeForce GTX 1050 Ti 4GB Phoenix Fan Edition DVI-D HDMI DP 1.4 Gaming Graphics Card,ASUS, GeForce GTX 1050 Ti , 4Â GB , GDDR5 , 1392 MHz ,14399.20
266,"MSI Computer Video Graphic Cards GeForce GTX 1050 TI GAMING X 4G, 4GB",MSI, GeForce GTX 1050 TI GAMING X 4G , 4 GB , GDDR5 , 1493 MHz ,14269.60
267,MSI GeForce GTX 1050 Ti Gaming graphics card with Twin Frozr VI cooling system,MSI, GeForce GTX 1050 Ti , 4Â GB , GDDR5 , 1493 MHz ,15679.20
269,Sapphire Technology Radeon Pulse RX 550 4GB GDDR5 HDMI/ DVI-D/ DP OC (UEFI) PCI-E Graphics Card,SapphireTechnology, Radeon Pulse RX 550 , 4 GB , GDDR5 , 1500 MHz ,27908.80
271,Gigabyte Nvidia GeForce GT 1030 OC 2G Graphics Card,Gigabyte, GeForce GT 1030 , 2 GB , GDDR5 , 1544 MHz ,9827.20
272,MSI GAMING GeForce GT 710 2GB GDRR3 64-bit HDCP Support DirectX 12 OpenGL 4.5 Heat Sink Low Profile Graphics Card,MSI, GT 710 2GD3H LP , 2 GB , DDR3 , 954 MHz ,11199.20
273,MSI Gaming GeForce GT 710 2GB GDRR3 64-bit HDCP Support DirectX 12 OpenGL 4.5 Single Fan Low Profile Graphics Card,MSI, GT 710 2GD3 LP , 2 GB , DDR3 , 1600 MHz ,5599.20
274,MSI GAMING GeForce GT 710 1GB GDRR3 64-bit HDCP Support DirectX 12 OpenGL 4.5 Heat Sink Low Profile Graphics Card ,MSI, GeForce GT 710 , 1Â GB , GDDR3 , 1000 MHz ,4096.80
275,Gigabyte GeForce GTX 1060 Windforce OC 3GB GDDR5 Graphics Card,Gigabyte, GV-N1060WF2OC-3GD , 3 GB , GDDR5 , 1797 MHz ,15999.20
276,Gigabyte Radeon Rx Vega 56 Gaming OC 8G Graphic Card - GV-RXVEGA56GAMING OC-8GD,Gigabyte, GV-RXVEGA56GAMING OC-8GD , 8 GB , HBM2 , 1501 MHz ,45599.20
278,"ZOTAC Gaming GeForce GTX 1650 OC 4GB GDDR5 128-Bit Gaming Graphics Card, Super Compact, ZT-T16500F-10L",ZOTAC, ZT-T16500F-10L , 4 GB , GDDR5 , 1695 MHz ,19999.20
280,"ZOTAC GeForce GTX 1060 AMP Edition, ZT-P10600B-10M, 6GB GDDR5 VR Ready Super Compact Gaming Graphics Card",ZOTAC, GeForce GTX 1060 AMP Edition , 6 GB , GDDR5 , 1771 MHz ,22399.20
281,"EVGA GeForce RTX 2070 Super FTW3 Ultra+, Overclocked, 2.75 Slot Extreme Cool Triple + iCX2, 65C Gaming, RGB, Metal Backplate, 15.5GHz 8GB GDDR6",EVGA, RTX 2070 Super FTW3 Ultra+ , 8 GB , GDDR6 , 1815 MHz ,71920.00
282,"EVGA GeForce RTX 2070 Super XC Ultra+, Overclocked, 2.75 Slot Extreme Cool Dual, 70C Gaming, RGB, Metal Backplate, 8GB 15.5GHz GDDR6",EVGA, RTX 2070 Super XC Ultra+ , 8 GB , GDDR6 , 1800 MHz ,75920.00
283,PNY GeForce RTX 2080 Super 8GB Blower Graphics Card,PNY, RTX 2080 Super Blower 8GB , 8 GB , GDDR6 , 1815 MHz ,54000.00
284,"EVGA GeForce RTX 2080 Super XC Gaming, 8GB GDDR6, RGB LED, Metal Backplate",EVGA, RTX 2080 Super XC , 8 GB , GDDR6 , 1830 MHz ,95996.00
285,Sapphire Toxic AMD Radeon RX 6900 XT Extreme Edition PCIe 4.0 Gaming Graphics Card with 16GB GDDR6,SapphireTechnology, RX 6900 XT 16GB Toxic Extreme Edition , 16 GB , GDDR6 , 2525 MHz ,175920.00
286,"PowerColor Red Devil AMD Radeon RX 6900 XT Ultimate Gaming Graphics Card with 16GB GDDR6 Memory, Powered by AMD RDNA 2, HDMI 2.1",PowerColor, RX 6900 XT Ultimate , 16 GB , GDDR6 , 2425 MHz ,79996.80
287,"ASRock RX6900XT OCF 16G AMD Radeon RX6900XT Graphics Board, 16GB",ASRock, RX 6900 XT 16GB OC Formula , 16 GB , GDDR6 , 2475 MHz ,74656.00
288,ASROCK Radeon RX 6900 XT Phantom Gaming D 16G OC,ASROCK, RX 6900 XT PGD 16G OC , 16 GB , GDDR6 , 2340 MHz ,71939.20
289,"XFX Speedster MERC319 AMD Radeon RX 6900 XT Ultra Gaming Graphics Card with 16GB GDDR6, HDMI 2,1, 2xDP, USB-C, AMD RDNA 2 ",XFX, Speedster MERC319 RX 6900 XT Ultra , 16 GB , GDDR6 , 2340 MHz ,199999.20
290,Sapphire Technology Nitro+ AMD Radeon RX 6900 XT Special Edition PCIe 4.0 Gaming Graphics Card with 16GB GDDR6,SapphireTechnology, RX 6900 XT Nitro+ Special Edition , 16 GB , GDDR6 , 2365 MHz ,74239.20
291,"PowerColor Red Devil Limited Edition AMD Radeon RX 6900 XT Gaming Graphics Card with 16GB GDDR6 Memory, Powered by AMD RDNA 2, Raytracing",PowerColor, Red Devil RX 6900 XT , 16 GB , GDDR6 , 2340 MHz ,175999.20
292,"ASUS ROG Strix LC AMD Radeon RX 6900 XT OC Edition Gaming Graphics Card (PCIe 4.0, 16GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Full-Coverage Cold Plate",ASUS, ROG Strix LC RX 6900 XT OC Edition , 16 GB , GDDR6 , 2365 MHz ,111599.20
296,XFX AMD Radeon HD 6850 775M 1 GB DDR5 Graphics Card,XFX, Radeon HD 6850 , 1 GB , GDDR5 , 1100 MHz ,29520.00
302,PowerColor ATI Radeon HD5450 1 GB DDR3 VGA/DVI/HDMI PCI-Express Video Card 1 GBK3-SH,PowerColor, AX5450 1GBK3-SH , 1 GB , DDR3 , 1100 MHz ,7999.20
304,HIS ATI Radeon HD5450 Silence 1 GB DDR3 VGA/ DVI/ DisplayPort Low Profile PCI-Express Video Card,HIS, HD5450 , 1 GB , DDR3 , 1000 MHz ,7999.20
305,PowerColor ATI Radeon HD5450 512 MB DDR3 VGA/DVI/HDMI PCI-Express Video Card,PowerColor, ATI Radeon HD5450 , 0.5 GB , DDR3 , 1000 MHz ,5196.00
306,"VisionTek Radeon 5450 2GB DDR3 (DVI-I, HDMI, VGA) Graphics Card",VisionTek, Radeon 5450 , 2 GB , DDR3 , 1000 MHz ,5199.20
307,"Diamond Multimedia AMD Radeon HD 5450 PCI Express GDDR3 1GB (DVI, HDMI, VGA) Low Profile Enhanced Heatsink Video Graphics Card",DiamondMultimedia, 5450PE31G , 1 GB , DDR3 , 1000 MHz ,4399.20
310,"GIGABYTE GeForce GTX 1650 Windforce OC 4G Graphics Card, 2X Windforce Fans, 4GB 128-Bit GDDR5, Gv-N1650WF2OC-4GD Video Card",Gigabyte, GeForce GTX 1650 Windforce OC , 4 GB , GDDR5 , 1785 MHz ,31920.00
